row.number,BD,PFL,throt,ED,EP,GS,GSh,MP,BS,Site1,species,group
4281,0.38,0.173,1.881118881,0.086,0.457894737,0.014234694,1.9375,0.323684211,0.5,AHMR,LEIUNI,Peren_longer
4291,0.382,0.174,2.054421769,0.083,0.510471204,0.014289941,1.826086957,0.384816754,0.437172775,AHMR,LEIUNI,Peren_longer
4301,0.352,0.174,2.288888889,0.078,0.420454545,0.013017751,1.818181818,0.235795455,0.443181818,AHMR,LEIUNI,Peren_longer
4315,0.348,0.174,1.810606061,0.089,0.459770115,0.015299174,1.711538462,0.304597701,0.537356322,AHMR,LEIUNI,Peren_longer
4321,0.389,0.193,2.104166667,0.097,0.434447301,0.013831361,1.931818182,0.298200514,0.526992288,AHMR,LEIUNI,Peren_longer
4331,0.372,0.18,2.31884058,0.091,0.397849462,0.00908801,1.973684211,0.217741935,0.483870968,AHMR,LEIUNI,Peren_longer
4341,0.348,0.179,2,0.087,0.462643678,0.011241319,2.114285714,0.295977011,0.522988506,AHMR,LEIUNI,Peren_longer
4361,0.371,0.189,1.933333333,0.091,0.433962264,0.01064,1.842105263,0.307277628,0.48787062,AHMR,LEIUNI,Peren_longer
4371,0.373,0.175,2.110294118,0.082,0.528150134,0.012465374,2,0.356568365,0.469168901,AHMR,LEIUNI,Peren_longer
4391,0.371,0.186,2.221428571,0.084,0.460916442,0.013333333,1.92,0.331536388,0.466307278,AHMR,LEIUNI,Peren_longer
4401,0.362,0.167,1.863636364,0.054,0.599447514,0.016210838,1.458064516,0.475138122,0.450276243,MHMR,LEIUNI,Peren_longer
4415,0.367,0.185,1.74796748,0.065,0.664850136,0.017897633,1.362416107,0.51226158,0.482288828,MHMR,LEIUNI,Peren_longer
4421,0.349,0.177,2.052631579,0.061,0.538681948,0.01543168,1.284671533,0.375358166,0.429799427,MHMR,LEIUNI,Peren_longer
4431,0.358,0.177,2.684615385,0.065,0.589385475,0.017092789,1.286764706,0.444134078,0.480446927,MHMR,LEIUNI,Peren_longer
4441,0.335,0.167,2.914529915,0.062,0.647761194,0.015308829,1.621359223,0.52238806,0.48358209,MHMR,LEIUNI,Peren_longer
4451,0.294,0.172,1.827586207,0.067,0.646258503,0.01732979,1.496062992,0.479591837,0.530612245,MHMR,LEIUNI,Peren_longer
4461,0.316,0.172,2.23255814,0.064,0.598101266,0.018686021,1.423728814,0.46835443,0.547468354,MHMR,LEIUNI,Peren_longer
4471,0.337,0.186,2.725,0.068,0.551928783,0.018243945,1.540540541,0.382789318,0.489614243,MHMR,LEIUNI,Peren_longer
4491,0.329,0.178,2.593495935,0.063,0.58662614,0.016789,1.582524272,0.386018237,0.537993921,MHMR,LEIUNI,Peren_longer
4501,0.367,0.177,2.435714286,0.065,0.514986376,0.015156157,1.632911392,0.376021798,0.482288828,MHMR,LEIUNI,Peren_longer
4515,0.316,0.186,2.140495868,0.065,0.639240506,0.015434783,1.543478261,0.496835443,0.547468354,MHMR,LEIUNI,Peren_longer
4521,0.337,0.172,2.858267717,0.074,0.483679525,0.014831461,1.483146067,0.284866469,0.49851632,MHMR,LEIUNI,Peren_longer
4531,0.319,0.173,2.387096774,0.073,0.501567398,0.013975426,1.573170732,0.313479624,0.532915361,MHMR,LEIUNI,Peren_longer
